id_pegawai,jk,tgl_lahir,rumpun_ilmu,stat_aktif,stat_pegawai,ikatan_kerja,pendidikan,pangkat,jabatan_akademik,sertifikasi,tahun_sertifikasi,tgl_jabatan_akademik,jenj_prodi,prodi,fakultas,usia,kelompok_usia,status_sertifikasi,mendekati_pensiun
546,L,1991-11-03,RUMPUN ILMU FORMAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-07-01,S1,Sains Data,FIK,35,30-40,Belum,False
547,P,1984-09-06,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2017.0,2018-04-01,D3,Keperawatan,FIKES,42,41-50,Bersertifikat,False
548,L,1987-06-26,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,Non-Golongan,Lektor,Belum Sertifikasi,,2022-10-01,S1,Teknik Elektro,FT,39,30-40,Belum,False
549,L,1984-06-28,Tidak Terdefinisi,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-10-01,S1,Teknik Elektro,FT,42,41-50,Belum,False
550,L,1989-01-29,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2024-05-01,S1,Informatika,FIK,37,30-40,Belum,False
551,P,1958-12-22,Tidak Terdefinisi,Aktif,POLRI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,67,>55,Belum,True
552,L,1981-06-11,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2021-06-01,S1,Teknik Mesin,FT,45,41-50,Belum,False
553,L,1994-01-20,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Asisten Ahli,Belum Sertifikasi,,2023-05-03,S1,Sains Informasi,FISIP,32,30-40,Belum,False
554,P,1984-12-10,Tidak Terdefinisi,Aktif,NON ASN,Pengajar nondosen,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Kedokteran,FK,42,41-50,Belum,False
555,L,1967-03-10,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,59,>55,Belum,True
556,P,1976-04-10,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/c - Penata,Lektor,Sertifikasi Dosen,2013.0,2015-01-01,S2,Kesehatan Masyarakat,FIKES,50,41-50,Bersertifikat,False
557,P,1965-01-01,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,IV/e - Pembina Utama,Profesor,Belum Sertifikasi,,1990-10-01,S1,Gizi,FIKES,61,>55,Belum,True
558,P,1993-03-15,RUMPUN ILMU FORMAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2020.0,2023-05-03,S1,Sistem Informasi,FIK,33,30-40,Bersertifikat,False
559,P,1992-01-27,RUMPUN ILMU TERAPAN,TUGAS BELAJAR,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2020.0,2020-08-01,S1,Kesehatan Masyarakat,FIKES,34,30-40,Bersertifikat,False
